ORA-00000    성공적인 정상 종료입니다.
ORA-00001    유일성 제약조건(%s.%s)에 위배됩니다.
ORA-00017    트레이스 이벤트 설정이 세션에 요구되었습니다.
ORA-00018    최대 세션 수를 초과했습니다.
ORA-00019    최대 세션 라이선스 수를 초과했습니다.
ORA-00020    최대 프로세스 수(%s)를 초과했습니다.
ORA-00021    세션이 다른 프로세스에 첨부되어 있음; 세션을 변경할 수 없습니다.
ORA-00022    부적절한 세션 번호; 액세스가 거절되었습니다.
ORA-00023    세션이 프로세스 고유의 메모리를 참조함; 세션을 분리할 수 없습니다.
ORA-00024    단일 프로세스 모드에서는 하나 이상의 프로세스가 로그인할 수 없습니다.
ORA-00025    %s에 메모리를 할당하는데 실패했습니다.
ORA-00026    누락 혹은 부적합한 세션 번호
ORA-00027    현 세션을 제거할 수 없습니다.
ORA-00028    세션이 제거되었습니다.
ORA-00029    사용자 세션이 아닙니다.
ORA-00030    사용자 세션 ID가 존재하지 않습니다.
ORA-00031    세션이 중단될 것입니다.
ORA-00032    부적합한 세션 MIGRATION PASSWORD
ORA-00033    현세션이 MIGRATION PASSWORD를 갖고있지 않습니다.
ORA-00034    PL/SQL 세션에서 %s를 할 수 없습니다.
ORA-00035    LICENSE_MAX_USERS가 현재의 사용자 수보다 적을 수 없습니다.
ORA-00050    엔큐를 하는 동안 O/S 오류가 발생했음. o/s 오류를 확인하십시오
ORA-00051    자원 대기 중 시간 초과입니다.
ORA-00052    최대 엔큐 자원 수(%s)를 초과했습니다.
ORA-00053    최대 엔큐 수를 초과했습니다.
ORA-00054    자원이 사용중이고, NOWAIT가 지정되어 있습니다.
ORA-00055    최대 DML 잠금 수를 초과했습니다.
ORA-00056    개체 %s.%s에 대한 DDL 잠금이 비호환 모드로 되어 있습니다.
ORA-00057    최대 임시 테이블 잠금 수가 초과했습니다.
ORA-00058    이 데이타베이스를 마운트하기 위해서 DB_BLOCK_SIZE가 %s이어야 함(%s 아님).
ORA-00059    최대 DB_FILES 수를 초과했습니다.
ORA-00060    자원 대기중 데드록이 검출되었습니다.
ORA-00061    다른 하나의 인스턴스가 다른 DML_LOCKS을 설정하고 있습니다.
ORA-00062    DML 전(full) 테이블 잠금을 취할 수 없습니다. DML_LOCKS은 0 입니다.
ORA-00063    최대 LOG_FILES 수를 초과했습니다.
ORA-00064    현 O/S (%s,%s)에 할당하기에는 개체가 너무 큽니다.
ORA-00065    FIXED_DATE의 초기화에 실패했습니다.
ORA-00066    LOG_FILES는 %s이지만 호환성을 위해 %s 이어야합니다.
ORA-00067    값 %s은 파라미터 %s에 대해 부적당하며, 최소한 %s 이어야 합니다.
ORA-00068    값 %s은 파라미터 %s에 대해 부적당하며, %s와 %s 사이의 값이어야 합니다.
ORA-00069    잠글 수 없습니다 -- %s에 대해 테이블 잠금을 할 수 없습니다.
ORA-00070    명령어 %s 은 적당하지 않습니다.
ORA-00071    프로세스 번호은 1 과 %s 사이어야 합니다.
ORA-00072    프로세스 %s 은 활동적인 것이 아닙니다.
ORA-00073    명령어 %s은 %s 와 %s 인수를 가지고 옵니다.
ORA-00074    지정된 프로세스가 없습니다.
ORA-00075    프로세스 %s 은 이 인스턴스에서 찾을 수 없습니다.
ORA-00076    덤프 %s 을 찾을 수 없습니다.
ORA-00077    덤프 %s 은 적당하지 않습니다.
ORA-00078    이 이름으로 변수를 덤프 할 수 없습니다.
ORA-00079    변수 %s 가 없습니다.
ORA-00080    레벨 %s 로 지정된 글로벌 영역이 부적당합니다.
ORA-00081    주소 범위 [%s, %s)은 읽기가능한 것이 아닙니다.
ORA-00082    %s의 메모리 크기는 적당한 [1], [2], [4]%s%s%s%s%s의 설정으로 되어 있지 않습니다.
ORA-00083    경고: 맵된 SGA가 손상한것 같습니다.
ORA-00084    글로벌 영역이 PGA, SGA, 또는 UGA 이어야만 합니다.
ORA-00085    현재 호출이 존재하지 않습니다.
ORA-00086    사용자 호출이 존재하지 않습니다.
ORA-00097    Oracle SQL 기능에서 사용하고 있는것이 SQL92 %s 레벨서 존재하고 있지 않습니다.
ORA-00100    데이터가 없습니다.
ORA-00101    시스템 파라미터 mts_dispatchers에 대한 사용 문법이 부적합합니다.
ORA-00102    %s 네트워크 프로토콜이 디스패쳐에 의해 사용될 수 없습니다.
ORA-00103    부적합한 네트워크 프로토콜; 디스패쳐에 의해 사용되도록 예약되었음
ORA-00104    데드록이 검출되었음; 모든 공유서버가 자원을 기다리고 있습니다.
ORA-00105    디스패칭 기법이 %s 네트워크 프로토콜을 지원하도록 되어있지 않습니다.
ORA-00106    디스패쳐에 연결되었을때는 데이타베이스를 기동/중지시킬 수 없습니다.
ORA-00107    ORACLE의 리스너 프로세스에 연결하지 못했습니다.
ORA-00108    비동기 연결이 가능하도록 디스패쳐를 설정하지 못했습니다.
ORA-00111    최대 서버수는 %s입니다; %s개의 서버 추가중
ORA-00112    경고: %s (지정 최대치) 디스패쳐만으로 생성되었습니다.
ORA-00113    프로토콜명 %s가 너무 깁니다.
ORA-00114    시스템 파라미터 mts_service에 대한 값이 없습니다.
ORA-00115    연결이 거절됨; 디스패쳐 연결 레이블이 FULL 상태입니다.
ORA-00116    mts_service명이 너무 깁니다.
ORA-00117    시스템 파라미터 mts_servers의 범위를 벗어납니다.
ORA-00118    시스템 파라미터 mts_dispatchers의 범위를 벗어납니다.
ORA-00119    mts_listener_address 시스템 파라미터에 지정이 부적합합니다.
ORA-00120    디스패칭 기법이 사용불가 혹은 설치되어있지 않습니다.
ORA-00121    mts_dispatchers를 제외하고 mts_servers가 지정되었습니다.
ORA-00122    네트워크 구성을 초기화할 수 없습니다.
ORA-00123    비작업중인 공유 서버를 종료합니다.
ORA-00124    mts_dispatchers가 mts_max_servers 없이 지정되었습니다.
ORA-00150    중복된 트랜잭션 ID
ORA-00151    부적합한 트랜잭션 ID
ORA-00152    현 세션이 요구된 세션과 일치하지 않습니다.
ORA-00200    제어 화일 %s을 생성할 수 없습니다.
ORA-00201    제어 화일 버전 %s은 ORACLE 버전 %s과 호환되지 않습니다.
ORA-00202    제어화일: %s
ORA-00203    잘못된 제어화일을 사용하였습니다.
ORA-00204    제어 화일 %s (블록 %s, 블록 수 %s) 읽기 오류입니다.
ORA-00205    제어 화일 %s 식별 오류입니다.
ORA-00206    제어 화일 %s (블록 %s, 블록 수 %s) 쓰기 오류입니다.
ORA-00207    제어화일이 현재 사용중인 데이타베이스용이 아닙니다.
ORA-00208    제어 화일명이 최대수 %s 를 초과했습니다.
ORA-00209    블록 크기 %s 가 최대 %s 바이트를 초과했습니다.
ORA-00210    제어 화일 %s 를 열 수 없습니다.
ORA-00211    제어 화일 %s 가 앞의 제어 화일과 일치하지 않습니다.
ORA-00212    블록 크기 %s가 최소한 필요한 크기 %s 바이트 미만입니다.
ORA-00213    제어 화일 %s 재사용 불가; 구 화일 크기 %s, %s가 필요합니다.
ORA-00214    제어 화일 %s의 버전 %s는 화일 %s 버전 %s와 일치하지 않습니다.
ORA-00215    적어도 한 개의 제어 화일이 필요합니다.
ORA-00216    제어 화일 %s 에 대한 물리 블록 크기를 확정할 수 없습니다.
ORA-00217    제어 화일 %s의 물리적 블록 크기 %s가 %s와 일치하지 않습니다.
ORA-00218    제어 화일 %s는 블록 크기를 %s로 작성되었지만 현재는 %s 입니다.
ORA-00219    필요한 제어 화일 크기 %s 가 최대치 %s 보다 큽니다.
ORA-00220    제어화일 %s가 첫 인스턴스에 의해 사용한 것과 일치하지 않습니다.
ORA-00221    제어화일에의 쓰기오류
ORA-00222    디스패쳐로 제어화일을 조회할 수 없습니다.
ORA-00223    변환 데이타화일이 부적합하거나 틀린 버전입니다.
ORA-00224    명시된 화일이 제어 화일이 아닙니다.
ORA-00225    기대된 크기 %s 은( 제어화일 %s 관한) 실제 크기 %s 와 다릅니다.
ORA-00250    아카이버가 작동되지 않았습니다.
ORA-00251    사용되지 않는 오류
ORA-00252    로그 %s (쓰레드 %s의)는 비었습니다. 아카이브할 수 없습니다.
ORA-00253    제한치 %s가 길이 %s로 초과되었습니다 (아카이브 스트링 %s의) 
ORA-00254    아카이브 제어 스트링 %s 오류입니다.
ORA-00255    로그 %s(쓰레드 %s, 시퀀스 번호 %s)의 아카이브 오류
ORA-00256    아카이브 텍스트 스트링 %s의 변환시 오류가 발생했습니다.
ORA-00257    아카이버 오류. 해제되기 전에는 내부 연결만 가능
ORA-00258    NOARCHIVELOG 모드에서의 수동 아카이브는 로그를 지정해야합니다.
ORA-00259    로그 %s(개방 쓰레드 %s의)가 현재 로그이므로 아카이브할 수 없습니다.
ORA-00260    온라인 로그 시퀀스 %s(쓰레드 %s의)를 발견할 수 없습니다.
ORA-00261    로그 %s(쓰레드 %s의)가 아카이브중이거나 수정중입니다.
ORA-00262    현재 로그 %s(닫힌 쓰레드 %s의)를 스위치할 수 없습니다.
ORA-00263    쓰레드 %s를 위해 아카이빙이 필요한 로그가 없습니다.
ORA-00264    복구가 필요하지 않습니다.
ORA-00265    인스턴스 복구가 요구됩니다. ARCHIVELOG모드를 지정할 수 없습니다.
ORA-00266    아카이브된 로그 화일의 이름을 필요로 합니다.
ORA-00267    아카이브된 로그 화일의 이름을 필요로 하지 않습니다.
ORA-00268    지정된 로그화일이 존재하지 않습니다 %s
ORA-00269    지정된 로그화일은 쓰레드 %s의 (%s가 아닌) 부분임
ORA-00270    아카이브 로그 생성시 오류
ORA-00271    아카이브를 필요로 하는 로그가 없습니다.
ORA-00272    아카이브 로그 기록시 오류
ORA-00273    로그되지 않은 직접 로드 데이타의 매체 복구
ORA-00274    부적절한 복구 옵션 %s
ORA-00275    매체 복구가 이미 시작되었습니다.
ORA-00276    키워드 CHANGE가 지정되었으나 변환 번호가 주어지지 않았습니다.
ORA-00277    UNTIL 복구 플래그 %s에 부적절한 옵션
ORA-00278    현 복구를 위해 로그화일 %s는 더이상 필요하지 않습니다.
ORA-00279    변환 %s가 (%s에서 생성된) 쓰레드 %s에 필요합니다.
ORA-00280    변환 %s(쓰레드 %s를 위한)가 시퀀스번호 %s에 있습니다.
ORA-00281    매체 복구는 디스패쳐를 사용하여 수행되지 않습니다.
ORA-00282    UPI %s 호출이 지원되지 않으니, ALTER DATABASE RECOVER를 사용하십시요
ORA-00283    복구 세션이 오류로 인하여 취소되었습니다.
ORA-00284    복구 세션이 진행중입니다.
ORA-00285    TIME 키워드가 지정되었으나 시간이 주어지지 않았습니다.
ORA-00286    이용가능한 멤버가 없거나, 적합한 데이타를 포함하고 있지 않습니다.
ORA-00287    지정된 변환 번호 %s가 쓰레드 %s에 없습니다.
ORA-00288    복구를 계속하려면 ALTER DATABASE RECOVER CONTINUE를 입력하십시요
ORA-00289    제안 : %s
ORA-00290    로그화일을 아카이브 하려고 할때, O/S 오류가 발생했습니다.
ORA-00291    PARALLEL 옵션에 숫자값이 필요로합니다.
ORA-00292    병렬 복구 기능이 설치되지 않았습니다.
ORA-00293    제어 화일과 리두로그가 동기화 상태에서 벗어나 있습니다.
ORA-00300    부적합한 리두 로그 블록 크기 %s가 지정됨 - 한계 %s 초과
ORA-00301    로그 화일 %s를 추가 작성할 수 없습니다.
ORA-00302    로그의 최대수 %s 를 초과했습니다.
ORA-00304    요구된 인스턴스 번호는 사용중입니다.
ORA-00305    로그 %s(쓰레드 %s의)는 일관되지 않습니다. 이것은 다른 데이타베이스에 속합니다.
ORA-00306    이 데이타베이스에서는 %s 인스턴스가 한계입니다.
